addr:共富二村,build_face:南,district:宝山,floor_position:中,living_room_num:3,name:稀罕南北通，带飘窗，交通方便，楼层好,price:465,price_unit:万,room_num:2,size:109.85,total_floor:6,town:共富,year:2006,
addr:强生花苑,build_face:南,district:徐汇,floor_position:中,living_room_num:2,name:卧室带卫，卧室带阳台，地铁房，光线充足,price:915,price_unit:万,room_num:2,size:113.04,total_floor:24,town:龙华,year:2001,
addr:高荣小区,build_face:南,district:静安,floor_position:低,living_room_num:3,name:南北通透，卧室带阳台，出行方便，低区出入方便,price:630,price_unit:万,room_num:1,size:89.04,total_floor:24,town:曹家渡,year:1990,
addr:奔腾新干线,build_face:南,district:闸北,floor_position:中,living_room_num:2,name:带飘窗，地铁直达，好楼层，装修精致,price:415,price_unit:万,room_num:1,size:49.34,total_floor:32,town:西藏北路,year:None,
addr:益晖新苑,build_face:南,district:杨浦,floor_position:中,living_room_num:3,name:稀罕南北通，厨卫全明，交通方便，黄金楼层,price:739,price_unit:万,room_num:2,size:108.3,total_floor:17,town:控江路,year:2010,
addr:信利苑,build_face:南,district:闵行,floor_position:高,living_room_num:2,name:房型正气，带落地窗，地铁沿线，视野开阔,price:475,price_unit:万,room_num:2,size:90.58,total_floor:6,town:航华,year:2002,
addr:茅台新苑,build_face:南,district:长宁,floor_position:低,living_room_num:2,name:卧室带阳台，地铁直达，上下楼方便，简单装修,price:450,price_unit:万,room_num:1,size:72.12,total_floor:16,town:仙霞,year:1989,
addr:宏翔公寓,build_face:南,district:杨浦,floor_position:高,living_room_num:1,name:南北直通，卧室带阳台，地铁沿线，高区景观房,price:262,price_unit:万,room_num:1,size:51.12,total_floor:7,town:黄兴公园,year:1999,
addr:达安花园,build_face:南,district:静安,floor_position:中,living_room_num:3,name:南北户型，客厅朝南，地铁房，黄金楼层,price:1300,price_unit:万,room_num:2,size:140.19,total_floor:16,town:曹家渡,year:2003,
addr:建德花园丁香苑,build_face:南,district:普陀,floor_position:中,living_room_num:2,name:南北通透，地铁沿线，低楼层，毛坯房,price:580,price_unit:万,room_num:2,size:108.36,total_floor:7,town:长征,year:2000,
addr:大统路159弄,build_face:南,district:闸北,floor_position:高,living_room_num:2,name:卧室带阳台，地铁直达，视野很好，简单装修,price:400,price_unit:万,room_num:0,size:55.42,total_floor:7,town:西藏北路,year:1985,
addr:小红楼,build_face:南,district:浦东,floor_position:低,living_room_num:2,name:南北户型，客厅朝南，地铁直达，上下楼方便,price:600,price_unit:万,room_num:2,size:91.09,total_floor:6,town:三林,year:2000,
addr:永馨小区,build_face:南,district:长宁,floor_position:高,living_room_num:2,name:房型正气，卧室带阳台，出行方便，采光无遮挡,price:295,price_unit:万,room_num:0,size:46.79,total_floor:6,town:北新泾,year:1993,
addr:绿洲康城亲水湾（中央区）,build_face:南,district:浦东,floor_position:中,living_room_num:2,name:稀缺南北通，带飘窗，出行方便，好楼层,price:610,price_unit:万,room_num:2,size:103.76,total_floor:17,town:御桥,year:2007,
addr:罗阳七村,build_face:南,district:闵行,floor_position:高,living_room_num:2,name:稀缺南北通，卧室带阳台，交通方便，视野很好,price:430,price_unit:万,room_num:2,size:85.16,total_floor:6,town:梅陇,year:1997,
addr:香山新村东北街坊,build_face:南,district:浦东,floor_position:高,living_room_num:2,name:厨卫全明，卧室带阳台，交通便利，光线非常好,price:386,price_unit:万,room_num:1,size:59.7,total_floor:6,town:金杨,year:1995,
addr:巨东小区,build_face:南,district:浦东,floor_position:低,living_room_num:2,name:厨卫全明，卧室带阳台，交通方便，低区出入方便,price:585,price_unit:万,room_num:1,size:69.88,total_floor:6,town:洋泾,year:1994,
addr:红旗四街坊,build_face:南,district:闵行,floor_position:高,living_room_num:2,name:房型正气，地铁直达，视野开阔，品味装修,price:228,price_unit:万,room_num:1,size:60.94,total_floor:6,town:老闵行,year:1989,
addr:梅陇四村,build_face:南,district:徐汇,floor_position:高,living_room_num:2,name:厨卫全明，卧室带阳台，交通便利，高区采光好,price:639,price_unit:万,room_num:1,size:105.76,total_floor:25,town:华东理工,year:1996,
addr:航天公寓,build_face:南,district:徐汇,floor_position:低,living_room_num:6,name:稀缺南北通，地铁沿线，低楼层，品质装修,price:1750,price_unit:万,room_num:4,size:203.56,total_floor:7,town:漕河泾,year:2010,
addr:行知家园,build_face:南,district:宝山,floor_position:高,living_room_num:2,name:房型正气，厨卫全明，交通便利，视野开阔,price:570,price_unit:万,room_num:2,size:100.23,total_floor:5,town:大华,year:1997,
addr:浦东南路1380弄,build_face:南,district:浦东,floor_position:中,living_room_num:1,name:南北直通，厨卫全明，地铁直达，好楼层,price:310,price_unit:万,room_num:1,size:47.14,total_floor:5,town:陆家嘴,year:1987,
addr:新泾五村,build_face:南,district:长宁,floor_position:高,living_room_num:2,name:稀罕南北通，地铁房，光线非常好，中等装修,price:445,price_unit:万,room_num:1,size:74.44,total_floor:6,town:北新泾,year:1996,
addr:梦蝶苑,build_face:南,district:徐汇,floor_position:低,living_room_num:3,name:南北通，卧室带阳台，地铁房，低楼层,price:900,price_unit:万,room_num:2,size:128.92,total_floor:24,town:龙华,year:1997,
addr:虹桥机场新村,build_face:南,district:长宁,floor_position:高,living_room_num:2,name:南北直通，地铁房，高区阳光房，简单装修,price:285,price_unit:万,room_num:1,size:56.44,total_floor:6,town:西郊,year:1988,
addr:虹叶花苑,build_face:南,district:虹口,floor_position:高,living_room_num:3,name:南北直通，厨卫全明，交通方便，视野很好,price:1180,price_unit:万,room_num:2,size:173.08,total_floor:8,town:四川北路,year:1997,
addr:凌高小区,build_face:东,district:浦东,floor_position:低,living_room_num:2,name:出行方便，上下楼方便，中等装修，满五减税,price:460,price_unit:万,room_num:1,size:89.62,total_floor:24,town:洋泾,year:1995,
addr:城丰路15弄,build_face:南,district:浦东,floor_position:高,living_room_num:3,name:南北通透，地铁直达，视野开阔，精装修,price:360,price_unit:万,room_num:2,size:107.9,total_floor:5,town:川沙,year:1996,
addr:银都新村（1至7区）,build_face:南,district:闵行,floor_position:中,living_room_num:1,name:稀缺南北通，卧室带阳台，地铁沿线，好楼层,price:218,price_unit:万,room_num:1,size:42.12,total_floor:6,town:颛桥,year:1995,
addr:化工二三村,build_face:南,district:徐汇,floor_position:低,living_room_num:2,name:厨卫全明，卧室带阳台，地铁房，低楼层,price:288,price_unit:万,room_num:0,size:45.71,total_floor:6,town:华东理工,year:1988,
addr:盛源公寓,build_face:南,district:浦东,floor_position:中,living_room_num:3,name:房型正气，厨卫全明，出行方便，楼层好,price:690,price_unit:万,room_num:2,size:114.35,total_floor:6,town:三林,year:2003,
addr:新梅广场,build_face:南,district:闵行,floor_position:高,living_room_num:3,name:南北通透，带飘窗，交通便利，采光无遮挡,price:750,price_unit:万,room_num:2,size:145.02,total_floor:12,town:古美,year:2000,
addr:欣安大厦,build_face:南,district:静安,floor_position:中,living_room_num:2,name:南北通，卧室带阳台，出行方便，楼层好,price:880,price_unit:万,room_num:2,size:150.73,total_floor:28,town:静安寺,year:1996,
addr:西南小区,build_face:南,district:虹口,floor_position:高,living_room_num:2,name:出行方便，光线非常好，简单装修，房本满五年,price:308,price_unit:万,room_num:0,size:44.65,total_floor:6,town:曲阳,year:1979,
addr:浣纱五村,build_face:南,district:杨浦,floor_position:高,living_room_num:2,name:厨卫全明，卧室带阳台，地铁房，视野很好,price:540,price_unit:万,room_num:1,size:95.71,total_floor:25,town:黄兴公园,year:1997,
addr:静安新城（一区）,build_face:南,district:闵行,floor_position:中,living_room_num:1,name:地铁直达，好楼层，简单装修，房本满五年,price:290,price_unit:万,room_num:1,size:49.2,total_floor:6,town:静安新城,year:1998,
addr:建德花园玫瑰苑（公寓）,build_face:南,district:普陀,floor_position:低,living_room_num:2,name:房型正气，地铁沿线，上下楼方便，毛坯房,price:525,price_unit:万,room_num:2,size:95.27,total_floor:6,town:长征,year:2005,
addr:永怡公寓,build_face:南,district:闵行,floor_position:高,living_room_num:3,name:房型正气，出行方便，高区阳光房，简单装修,price:790,price_unit:万,room_num:2,size:137.62,total_floor:11,town:龙柏,year:2002,
addr:采菊苑,build_face:南,district:宝山,floor_position:低,living_room_num:2,name:南北通，客厅朝南，交通便利，低楼层,price:350,price_unit:万,room_num:1,size:78.1,total_floor:10,town:顾村,year:2008,
addr:纯翠苑,build_face:南,district:浦东,floor_position:高,living_room_num:3,name:南北通透，地铁房，高区阳光房，品质装修,price:748,price_unit:万,room_num:2,size:135.61,total_floor:6,town:三林,year:2001,
addr:绿水家园,build_face:南,district:闵行,floor_position:高,living_room_num:2,name:南北通，客厅朝南，交通便利，高区景观好,price:800,price_unit:万,room_num:2,size:111.7,total_floor:14,town:莘庄,year:2005,
addr:金鹤新城双佳翠庭,build_face:南,district:嘉定,floor_position:低,living_room_num:2,name:南北直通，地铁直达，低楼层，简单装修,price:400,price_unit:万,room_num:2,size:76.07,total_floor:11,town:江桥,year:2007,
addr:丰庄四村,build_face:南,district:嘉定,floor_position:中,living_room_num:2,name:卧室带阳台，光线充足，中等装修，满5年,price:330,price_unit:万,room_num:1,size:65.96,total_floor:6,town:丰庄,year:1996,
addr:广海花园,build_face:南,district:闵行,floor_position:中,living_room_num:3,name:南北通，客厅朝南，光线充足，省装修费,price:596,price_unit:万,room_num:2,size:104.98,total_floor:6,town:七宝,year:1995,
addr:潼港一村,build_face:南,district:浦东,floor_position:中,living_room_num:2,name:光线充足，简单装修，满5年，看房有钥匙,price:230,price_unit:万,room_num:1,size:54.4,total_floor:6,town:外高桥,year:1990,
addr:铂庭俱进家园,build_face:南,district:浦东,floor_position:低,living_room_num:2,name:厨卫全明，客厅朝南，低楼层，拎包入住,price:500,price_unit:万,room_num:2,size:86.47,total_floor:20,town:高行,year:2010,
addr:春港丽园（公寓）,build_face:None,district:浦东,floor_position:低,living_room_num:3,name:上下楼方便，中等装修，满5年，马上看房,price:425,price_unit:万,room_num:1,size:86.12,total_floor:6,town:张江,year:2000,
addr:海尚明城,build_face:南,district:宝山,floor_position:低,living_room_num:2,name:稀罕南北通，厨卫全明，低楼层，省装修费,price:385,price_unit:万,room_num:2,size:96.7,total_floor:11,town:杨行,year:2008,
addr:三花现代城,build_face:南,district:宝山,floor_position:低,living_room_num:2,name:房型正气，带飘窗，低楼层，简单装修,price:508,price_unit:万,room_num:2,size:89.29,total_floor:14,town:高境,year:2010,
addr:绿庭尚城,build_face:南,district:松江,floor_position:低,living_room_num:2,name:南北通透，带飘窗，低楼层，拎包入住,price:415,price_unit:万,room_num:2,size:103.45,total_floor:27,town:九亭,year:2008,
addr:上川路1468弄,build_face:南,district:浦东,floor_position:低,living_room_num:3,name:南北直通，厨卫全明，低楼层，装修精致,price:356,price_unit:万,room_num:2,size:94.31,total_floor:6,town:曹路,year:1995,
addr:虹浦新城,build_face:南,district:闵行,floor_position:低,living_room_num:1,name:厨卫全明，卧室带阳台，低区出入方便，省装修费,price:240,price_unit:万,room_num:1,size:55.22,total_floor:11,town:浦江,year:2008,
addr:宝仪花苑,build_face:南,district:闵行,floor_position:中,living_room_num:3,name:厨卫全明，卧室带阳台，好楼层，中等装修,price:480,price_unit:万,room_num:1,size:79.15,total_floor:6,town:七宝,year:1996,
addr:平阳绿家园,build_face:南,district:闵行,floor_position:中,living_room_num:3,name:稀罕南北通，厨卫全明，楼层好，品质装修,price:595,price_unit:万,room_num:2,size:99.24,total_floor:5,town:古美,year:2000,
addr:宛平南路493弄,build_face:南,district:徐汇,floor_position:低,living_room_num:2,name:稀罕南北通，卧室带阳台，地铁沿线，低楼层,price:745,price_unit:万,room_num:2,size:100.06,total_floor:6,town:徐家汇,year:1994,
